State,Disability,Ethnicity,Gender,Gender_Identity,Race,Religion,Sexual_orientation,annualTotal
"AL",0,0,0,0,5,0,1,6
"WY",0,1,0,0,0,0,0,1
"AZ",1,24,0,0,73,30,27,155
"AR", 0, 2, 0, 0, 17, 0, 8, 27
"CA", 1, 115, 0, 7, 374, 129, 217, 843
"CO", 1, 15, 0, 0, 54, 18, 40, 128
"CT", 3, 24, 0, 0, 72, 20, 26, 146
"DC", 0, 4, 0, 12, 18, 6, 32, 72
"DE", 0, 0, 0, 0, 9, 0, 3, 12
"FL", 0, 8, 0, 0, 40, 8, 20, 76
"GA", 1, 5, 0, 0, 29, 5, 17, 57
"ID", 0, 3, 0, 0, 19, 6, 4, 32
"IL", 0, 8, 0, 0, 61, 7, 29, 105
"IN", 1, 9, 0, 0, 49, 3, 13, 75
"IA", 0, 1, 0, 0, 5, 1, 3, 10
"KS", 2, 5, 0, 0, 38, 6, 13, 64
"KY", 7, 15, 0, 0, 113, 5, 31, 171
"LA", 0, 1, 0, 0, 7, 6, 8, 22
"ME", 0, 0, 0, 0, 12, 3, 10, 25
"MD", 0, 3, 0, 0, 26, 15, 7, 51
"MA", 3, 42, 1, 3, 146, 64, 91, 350
"MI", 4, 18, 3, 0, 211, 44, 49, 329
"MN", 1, 11, 0, 0, 83, 19, 30, 144
"MS", 0, 2, 0, 0, 2, 0, 0, 4
"MO", 1, 6, 4, 2, 51, 11, 27, 102
"AK", 0, 0, 0, 0, 8, 0, 0, 8
"NE", 0, 6, 0, 0, 17, 5, 8, 36
"NV", 0, 7, 0, 0, 31, 10, 25, 73
"NH", 0, 1, 0, 0, 11, 5, 4, 21
"NJ", 4, 38, 0, 0, 187, 121, 64, 414
"NM", 0, 1, 0, 0, 6, 1, 4, 12
"NY", 2, 36, 6, 5, 150, 294, 122, 617
"NC", 0, 11, 0, 0, 67, 17, 23, 118
"ND", 5, 10, 0, 0, 27, 5, 4, 51
"OH", 24, 42, 0, 0, 226, 17, 61, 370
"OK", 1, 3, 0, 0, 22, 8, 7, 41
"OR", 1, 9, 0, 0, 32, 10, 14, 66
"PA", 0, 1, 0, 0, 44, 11, 8, 64
"RI", 0, 1, 0, 0, 4, 2, 0, 7
"SC", 0, 3, 0, 0, 33, 9, 6, 51
"SD", 0, 0, 0, 0, 10, 2, 1, 13
"TN", 9, 81, 0, 1, 59, 8, 38, 197
"TX", 2, 25, 0, 0, 54, 7, 44, 132
"UT", 2, 8, 0, 0, 47, 10, 8, 75
"VT", 0, 0, 0, 0, 8, 1, 3, 12
"VA", 0, 7, 0, 0, 70, 30, 12, 119
"WA", 7, 32, 4, 1, 158, 40, 49, 291
"WV", 0, 2, 0, 0, 40, 6, 8, 56
"WI", 0, 8, 0, 0, 22, 5, 15, 50
"MT", 0, 1, 0, 0, 25, 2, 3, 31 
